2020-11-05 22:36:57,350 - full-1 - INFO - Namespace(batch_size=96, bptt=35, clip=0.25, concat=True, cuda=True, data='data/penn', dropout=0.2, emsize=300, epochs=400, index_module='linear', log_interval=1000, loss='full', lr=1.0, lr_decay=2, min_freq=3, nhid=300, nlayers=3, noise_ratio=500, norm_term=-1, prof=False, save='full-1', seed=1111, tb_name=None, train=True, vocab=None, weight_decay=1e-08)
2020-11-05 22:36:57,699 - full-1 - INFO - Vocabulary size is 9957
2020-11-05 22:37:07,865 - full-1 - INFO - model definition:
 RNNModel(
  (drop): Dropout(p=0.2, inplace=False)
  (encoder): Embedding(9957, 300)
  (rnn): LSTM(300, 300, num_layers=3, batch_first=True, dropout=0.2)
  (proj): Linear(in_features=300, out_features=300, bias=True)
  (criterion): IndexLinear(
    (alias): AliasMultinomial()
    (bce_with_logits): BCEWithLogitsLoss()
    (ce): CrossEntropyLoss()
    (emb): Embedding(9957, 300)
    (bias): Embedding(9957, 1)
  )
)
2020-11-05 22:43:41,415 - full-1 - WARNING - | end of epoch  42 | time:  9.27s |valid ppl   116.85 | valid loss:  4.83
2020-11-05 22:43:50,696 - full-1 - WARNING - | end of epoch  43 | time:  9.28s |valid ppl   116.85 | valid loss:  4.80
2020-11-05 22:43:59,972 - full-1 - WARNING - | end of epoch  44 | time:  9.28s |valid ppl   116.85 | valid loss:  4.91
2020-11-05 22:44:09,268 - full-1 - WARNING - | end of epoch  45 | time:  9.30s |valid ppl   116.85 | valid loss:  4.70
2020-11-05 22:44:18,574 - full-1 - WARNING - | end of epoch  46 | time:  9.30s |valid ppl   116.85 | valid loss:  4.92
2020-11-05 22:44:27,889 - full-1 - WARNING - | end of epoch  47 | time:  9.31s |valid ppl   116.85 | valid loss:  4.84
2020-11-05 22:44:37,197 - full-1 - WARNING - | end of epoch  48 | time:  9.31s |valid ppl   116.85 | valid loss:  4.83
2020-11-05 22:44:46,520 - full-1 - WARNING - | end of epoch  49 | time:  9.32s |valid ppl   116.85 | valid loss:  4.70
2020-11-05 22:44:55,869 - full-1 - WARNING - | end of epoch  50 | time:  9.35s |valid ppl   116.85 | valid loss:  4.82
2020-11-05 22:45:05,209 - full-1 - WARNING - | end of epoch  51 | time:  9.34s |valid ppl   116.85 | valid loss:  4.82
2020-11-05 22:45:14,547 - full-1 - WARNING - | end of epoch  52 | time:  9.34s |valid ppl   116.85 | valid loss:  4.78
2020-11-05 22:45:23,878 - full-1 - WARNING - | end of epoch  53 | time:  9.33s |valid ppl   116.85 | valid loss:  4.78
2020-11-05 22:45:33,233 - full-1 - WARNING - | end of epoch  54 | time:  9.36s |valid ppl   116.85 | valid loss:  4.90
2020-11-05 22:45:42,590 - full-1 - WARNING - | end of epoch  55 | time:  9.36s |valid ppl   116.85 | valid loss:  4.67
2020-11-05 22:45:51,936 - full-1 - WARNING - | end of epoch  56 | time:  9.35s |valid ppl   116.85 | valid loss:  4.79
2020-11-05 22:46:01,291 - full-1 - WARNING - | end of epoch  57 | time:  9.36s |valid ppl   116.85 | valid loss:  4.98
2020-11-05 22:46:10,664 - full-1 - WARNING - | end of epoch  58 | time:  9.37s |valid ppl   116.85 | valid loss:  4.88
2020-11-05 22:46:20,019 - full-1 - WARNING - | end of epoch  59 | time:  9.35s |valid ppl   116.85 | valid loss:  4.65
