2020-11-05 22:34:31,654 - nce-3 - INFO - Namespace(batch_size=96, bptt=35, clip=0.25, concat=True, cuda=True, data='data/penn', dropout=0.2, emsize=300, epochs=400, index_module='linear', log_interval=1000, loss='nce', lr=1.0, lr_decay=2, min_freq=3, nhid=300, nlayers=3, noise_ratio=500, norm_term=-1, prof=False, save='nce-3', seed=1111, tb_name=None, train=True, vocab=None, weight_decay=1e-08)
2020-11-05 22:34:31,940 - nce-3 - INFO - Vocabulary size is 9957
2020-11-05 22:34:41,133 - nce-3 - INFO - model definition:
 RNNModel(
  (drop): Dropout(p=0.2, inplace=False)
  (encoder): Embedding(9957, 300)
  (rnn): LSTM(300, 300, num_layers=3, batch_first=True, dropout=0.2)
  (proj): Linear(in_features=300, out_features=300, bias=True)
  (criterion): IndexLinear(
    (alias): AliasMultinomial()
    (bce_with_logits): BCEWithLogitsLoss()
    (ce): CrossEntropyLoss()
    (emb): Embedding(9957, 300)
    (bias): Embedding(9957, 1)
  )
)
2020-11-05 22:34:46,902 - nce-3 - WARNING - | end of epoch   1 | time:  5.77s |valid ppl   660.63 | valid loss:  6.54
2020-11-05 22:34:53,066 - nce-3 - WARNING - | end of epoch   2 | time:  5.54s |valid ppl   647.99 | valid loss:  6.52
2020-11-05 22:34:59,221 - nce-3 - WARNING - | end of epoch   3 | time:  5.56s |valid ppl   496.55 | valid loss:  6.27
2020-11-05 22:35:05,205 - nce-3 - WARNING - | end of epoch   4 | time:  5.61s |valid ppl   386.58 | valid loss:  6.13
2020-11-05 22:35:11,237 - nce-3 - WARNING - | end of epoch   5 | time:  5.66s |valid ppl   322.20 | valid loss:  5.74
2020-11-05 22:35:17,348 - nce-3 - WARNING - | end of epoch   6 | time:  5.74s |valid ppl   270.13 | valid loss:  5.62
2020-11-05 22:35:23,484 - nce-3 - WARNING - | end of epoch   7 | time:  5.76s |valid ppl   247.50 | valid loss:  5.55
2020-11-05 22:35:29,569 - nce-3 - WARNING - | end of epoch   8 | time:  5.72s |valid ppl   221.42 | valid loss:  5.48
2020-11-05 22:35:35,586 - nce-3 - WARNING - | end of epoch   9 | time:  5.66s |valid ppl   205.29 | valid loss:  5.42
2020-11-05 22:35:44,198 - nce-3 - WARNING - | end of epoch  10 | time:  5.72s |valid ppl   194.51 | valid loss:  5.33
2020-11-05 22:35:51,649 - nce-3 - WARNING - | end of epoch  11 | time:  5.72s |valid ppl   182.35 | valid loss:  5.28
2020-11-05 22:35:58,217 - nce-3 - WARNING - | end of epoch  12 | time:  5.68s |valid ppl   176.82 | valid loss:  5.14
2020-11-05 22:36:04,319 - nce-3 - WARNING - | end of epoch  13 | time:  5.72s |valid ppl   168.03 | valid loss:  5.24
2020-11-05 22:36:10,492 - nce-3 - WARNING - | end of epoch  14 | time:  5.71s |valid ppl   160.98 | valid loss:  5.03
2020-11-05 22:36:16,567 - nce-3 - WARNING - | end of epoch  15 | time:  5.71s |valid ppl   160.65 | valid loss:  5.08
2020-11-05 22:36:22,654 - nce-3 - WARNING - | end of epoch  16 | time:  5.74s |valid ppl   152.12 | valid loss:  5.02
2020-11-05 22:36:28,767 - nce-3 - WARNING - | end of epoch  17 | time:  5.73s |valid ppl   147.14 | valid loss:  4.98
2020-11-05 22:36:34,914 - nce-3 - WARNING - | end of epoch  18 | time:  5.74s |valid ppl   142.76 | valid loss:  4.96
2020-11-05 22:36:41,095 - nce-3 - WARNING - | end of epoch  19 | time:  5.75s |valid ppl   142.03 | valid loss:  5.03
2020-11-05 22:36:47,210 - nce-3 - WARNING - | end of epoch  20 | time:  5.75s |valid ppl   139.28 | valid loss:  4.98
2020-11-05 22:36:53,330 - nce-3 - WARNING - | end of epoch  21 | time:  5.76s |valid ppl   134.67 | valid loss:  4.81
2020-11-05 22:36:59,450 - nce-3 - WARNING - | end of epoch  22 | time:  5.76s |valid ppl   133.00 | valid loss:  4.89
2020-11-05 22:37:05,672 - nce-3 - WARNING - | end of epoch  23 | time:  5.76s |valid ppl   133.05 | valid loss:  4.91
2020-11-05 22:37:11,442 - nce-3 - WARNING - | end of epoch  24 | time:  5.77s |valid ppl   124.08 | valid loss:  4.71
2020-11-05 22:37:17,655 - nce-3 - WARNING - | end of epoch  25 | time:  5.78s |valid ppl   122.55 | valid loss:  4.84
2020-11-05 22:37:23,863 - nce-3 - WARNING - | end of epoch  26 | time:  5.79s |valid ppl   123.85 | valid loss:  4.86
2020-11-05 22:37:29,657 - nce-3 - WARNING - | end of epoch  27 | time:  5.77s |valid ppl   119.23 | valid loss:  4.95
2020-11-05 22:37:36,150 - nce-3 - WARNING - | end of epoch  28 | time:  5.79s |valid ppl   118.87 | valid loss:  4.83
2020-11-05 22:37:42,302 - nce-3 - WARNING - | end of epoch  29 | time:  5.80s |valid ppl   118.84 | valid loss:  4.77
2020-11-05 22:37:48,455 - nce-3 - WARNING - | end of epoch  30 | time:  5.79s |valid ppl   118.91 | valid loss:  4.76
2020-11-05 22:37:54,244 - nce-3 - WARNING - | end of epoch  31 | time:  5.79s |valid ppl   117.07 | valid loss:  4.82
2020-11-05 22:38:03,075 - nce-3 - WARNING - | end of epoch  32 | time:  5.81s |valid ppl   117.19 | valid loss:  4.84
2020-11-05 22:38:08,862 - nce-3 - WARNING - | end of epoch  33 | time:  5.79s |valid ppl   116.16 | valid loss:  4.62
2020-11-05 22:38:15,045 - nce-3 - WARNING - | end of epoch  34 | time:  5.79s |valid ppl   116.30 | valid loss:  4.83
2020-11-05 22:38:20,833 - nce-3 - WARNING - | end of epoch  35 | time:  5.79s |valid ppl   116.03 | valid loss:  4.83
2020-11-05 22:38:27,005 - nce-3 - WARNING - | end of epoch  36 | time:  5.80s |valid ppl   115.99 | valid loss:  4.66
2020-11-05 22:38:33,181 - nce-3 - WARNING - | end of epoch  37 | time:  5.80s |valid ppl   115.99 | valid loss:  4.75
2020-11-05 22:38:39,416 - nce-3 - WARNING - | end of epoch  38 | time:  5.80s |valid ppl   116.06 | valid loss:  4.77
2020-11-05 22:38:45,216 - nce-3 - WARNING - | end of epoch  39 | time:  5.80s |valid ppl   115.86 | valid loss:  4.71
2020-11-05 22:38:51,443 - nce-3 - WARNING - | end of epoch  40 | time:  5.80s |valid ppl   115.84 | valid loss:  4.91
2020-11-05 22:38:59,127 - nce-3 - WARNING - | end of epoch  41 | time:  5.83s |valid ppl   115.79 | valid loss:  4.62
2020-11-05 22:39:07,706 - nce-3 - WARNING - | end of epoch  42 | time:  5.82s |valid ppl   115.84 | valid loss:  4.80
2020-11-05 22:39:13,501 - nce-3 - WARNING - | end of epoch  43 | time:  5.80s |valid ppl   115.70 | valid loss:  4.79
2020-11-05 22:39:20,052 - nce-3 - WARNING - | end of epoch  44 | time:  5.79s |valid ppl   115.77 | valid loss:  4.91
2020-11-05 22:39:25,853 - nce-3 - WARNING - | end of epoch  45 | time:  5.80s |valid ppl   115.74 | valid loss:  4.69
2020-11-05 22:39:31,662 - nce-3 - WARNING - | end of epoch  46 | time:  5.81s |valid ppl   115.68 | valid loss:  4.91
2020-11-05 22:39:37,872 - nce-3 - WARNING - | end of epoch  47 | time:  5.82s |valid ppl   115.70 | valid loss:  4.83
2020-11-05 22:39:43,694 - nce-3 - WARNING - | end of epoch  48 | time:  5.82s |valid ppl   115.71 | valid loss:  4.79
2020-11-05 22:39:49,513 - nce-3 - WARNING - | end of epoch  49 | time:  5.82s |valid ppl   115.69 | valid loss:  4.68
2020-11-05 22:39:55,340 - nce-3 - WARNING - | end of epoch  50 | time:  5.83s |valid ppl   115.69 | valid loss:  4.80
2020-11-05 22:40:01,165 - nce-3 - WARNING - | end of epoch  51 | time:  5.82s |valid ppl   115.69 | valid loss:  4.78
2020-11-05 22:40:07,001 - nce-3 - WARNING - | end of epoch  52 | time:  5.84s |valid ppl   115.69 | valid loss:  4.74
2020-11-05 22:40:12,828 - nce-3 - WARNING - | end of epoch  53 | time:  5.83s |valid ppl   115.69 | valid loss:  4.76
2020-11-05 22:40:18,656 - nce-3 - WARNING - | end of epoch  54 | time:  5.83s |valid ppl   115.69 | valid loss:  4.87
2020-11-05 22:40:24,493 - nce-3 - WARNING - | end of epoch  55 | time:  5.84s |valid ppl   115.69 | valid loss:  4.71
2020-11-05 22:40:30,328 - nce-3 - WARNING - | end of epoch  56 | time:  5.83s |valid ppl   115.69 | valid loss:  4.80
2020-11-05 22:40:36,162 - nce-3 - WARNING - | end of epoch  57 | time:  5.83s |valid ppl   115.69 | valid loss:  4.93
2020-11-05 22:40:42,000 - nce-3 - WARNING - | end of epoch  58 | time:  5.84s |valid ppl   115.69 | valid loss:  4.84
2020-11-05 22:40:47,839 - nce-3 - WARNING - | end of epoch  59 | time:  5.84s |valid ppl   115.69 | valid loss:  4.63
2020-11-05 22:40:53,677 - nce-3 - WARNING - | end of epoch  60 | time:  5.84s |valid ppl   115.69 | valid loss:  4.66
2020-11-05 22:40:59,516 - nce-3 - WARNING - | end of epoch  61 | time:  5.84s |valid ppl   115.69 | valid loss:  4.76
2020-11-05 22:41:05,358 - nce-3 - WARNING - | end of epoch  62 | time:  5.84s |valid ppl   115.69 | valid loss:  4.72
2020-11-05 22:41:11,215 - nce-3 - WARNING - | end of epoch  63 | time:  5.86s |valid ppl   115.69 | valid loss:  4.74
2020-11-05 22:41:17,050 - nce-3 - WARNING - | end of epoch  64 | time:  5.83s |valid ppl   115.69 | valid loss:  4.73
2020-11-05 22:41:22,890 - nce-3 - WARNING - | end of epoch  65 | time:  5.84s |valid ppl   115.69 | valid loss:  4.81
2020-11-05 22:41:28,724 - nce-3 - WARNING - | end of epoch  66 | time:  5.83s |valid ppl   115.69 | valid loss:  4.90
2020-11-05 22:41:34,565 - nce-3 - WARNING - | end of epoch  67 | time:  5.84s |valid ppl   115.69 | valid loss:  4.84
2020-11-05 22:41:40,421 - nce-3 - WARNING - | end of epoch  68 | time:  5.86s |valid ppl   115.69 | valid loss:  4.67
2020-11-05 22:41:46,268 - nce-3 - WARNING - | end of epoch  69 | time:  5.85s |valid ppl   115.69 | valid loss:  4.70
2020-11-05 22:41:52,131 - nce-3 - WARNING - | end of epoch  70 | time:  5.86s |valid ppl   115.69 | valid loss:  4.63
2020-11-05 22:41:57,988 - nce-3 - WARNING - | end of epoch  71 | time:  5.86s |valid ppl   115.69 | valid loss:  4.92
2020-11-05 22:42:03,857 - nce-3 - WARNING - | end of epoch  72 | time:  5.87s |valid ppl   115.69 | valid loss:  4.85
2020-11-05 22:42:09,728 - nce-3 - WARNING - | end of epoch  73 | time:  5.87s |valid ppl   115.69 | valid loss:  4.80
2020-11-05 22:42:15,594 - nce-3 - WARNING - | end of epoch  74 | time:  5.87s |valid ppl   115.69 | valid loss:  4.78
2020-11-05 22:42:21,462 - nce-3 - WARNING - | end of epoch  75 | time:  5.87s |valid ppl   115.69 | valid loss:  4.85
2020-11-05 22:42:27,329 - nce-3 - WARNING - | end of epoch  76 | time:  5.87s |valid ppl   115.69 | valid loss:  4.72
2020-11-05 22:42:33,202 - nce-3 - WARNING - | end of epoch  77 | time:  5.87s |valid ppl   115.69 | valid loss:  4.65
2020-11-05 22:42:39,079 - nce-3 - WARNING - | end of epoch  78 | time:  5.88s |valid ppl   115.69 | valid loss:  4.93
2020-11-05 22:42:44,951 - nce-3 - WARNING - | end of epoch  79 | time:  5.87s |valid ppl   115.69 | valid loss:  4.74
2020-11-05 22:42:50,822 - nce-3 - WARNING - | end of epoch  80 | time:  5.87s |valid ppl   115.69 | valid loss:  4.75
2020-11-05 22:42:56,701 - nce-3 - WARNING - | end of epoch  81 | time:  5.88s |valid ppl   115.69 | valid loss:  4.71
2020-11-05 22:43:02,569 - nce-3 - WARNING - | end of epoch  82 | time:  5.87s |valid ppl   115.69 | valid loss:  4.71
2020-11-05 22:43:08,442 - nce-3 - WARNING - | end of epoch  83 | time:  5.87s |valid ppl   115.69 | valid loss:  4.57
2020-11-05 22:43:14,317 - nce-3 - WARNING - | end of epoch  84 | time:  5.87s |valid ppl   115.69 | valid loss:  4.67
2020-11-05 22:43:20,193 - nce-3 - WARNING - | end of epoch  85 | time:  5.88s |valid ppl   115.69 | valid loss:  4.71
2020-11-05 22:43:26,075 - nce-3 - WARNING - | end of epoch  86 | time:  5.88s |valid ppl   115.69 | valid loss:  4.85
2020-11-05 22:43:31,948 - nce-3 - WARNING - | end of epoch  87 | time:  5.87s |valid ppl   115.69 | valid loss:  4.79
2020-11-05 22:43:37,837 - nce-3 - WARNING - | end of epoch  88 | time:  5.89s |valid ppl   115.69 | valid loss:  4.69
2020-11-05 22:43:43,717 - nce-3 - WARNING - | end of epoch  89 | time:  5.88s |valid ppl   115.69 | valid loss:  4.68
2020-11-05 22:43:49,600 - nce-3 - WARNING - | end of epoch  90 | time:  5.88s |valid ppl   115.69 | valid loss:  4.74
2020-11-05 22:43:55,480 - nce-3 - WARNING - | end of epoch  91 | time:  5.88s |valid ppl   115.69 | valid loss:  4.54
2020-11-05 22:44:01,358 - nce-3 - WARNING - | end of epoch  92 | time:  5.88s |valid ppl   115.69 | valid loss:  4.66
2020-11-05 22:44:07,248 - nce-3 - WARNING - | end of epoch  93 | time:  5.89s |valid ppl   115.69 | valid loss:  4.74
2020-11-05 22:44:13,126 - nce-3 - WARNING - | end of epoch  94 | time:  5.88s |valid ppl   115.69 | valid loss:  4.68
2020-11-05 22:44:19,008 - nce-3 - WARNING - | end of epoch  95 | time:  5.88s |valid ppl   115.69 | valid loss:  4.87
2020-11-05 22:44:24,897 - nce-3 - WARNING - | end of epoch  96 | time:  5.89s |valid ppl   115.69 | valid loss:  4.85
2020-11-05 22:44:30,775 - nce-3 - WARNING - | end of epoch  97 | time:  5.88s |valid ppl   115.69 | valid loss:  4.79
2020-11-05 22:44:36,662 - nce-3 - WARNING - | end of epoch  98 | time:  5.89s |valid ppl   115.69 | valid loss:  4.81
2020-11-05 22:44:42,550 - nce-3 - WARNING - | end of epoch  99 | time:  5.89s |valid ppl   115.69 | valid loss:  4.84
2020-11-05 22:44:48,435 - nce-3 - WARNING - | end of epoch 100 | time:  5.88s |valid ppl   115.69 | valid loss:  4.69
2020-11-05 22:44:54,323 - nce-3 - WARNING - | end of epoch 101 | time:  5.89s |valid ppl   115.69 | valid loss:  4.74
2020-11-05 22:45:00,214 - nce-3 - WARNING - | end of epoch 102 | time:  5.89s |valid ppl   115.69 | valid loss:  4.81
2020-11-05 22:45:06,113 - nce-3 - WARNING - | end of epoch 103 | time:  5.90s |valid ppl   115.69 | valid loss:  4.82
2020-11-05 22:45:11,997 - nce-3 - WARNING - | end of epoch 104 | time:  5.88s |valid ppl   115.69 | valid loss:  4.61
2020-11-05 22:45:17,887 - nce-3 - WARNING - | end of epoch 105 | time:  5.89s |valid ppl   115.69 | valid loss:  4.72
2020-11-05 22:45:23,782 - nce-3 - WARNING - | end of epoch 106 | time:  5.89s |valid ppl   115.69 | valid loss:  4.80
2020-11-05 22:45:29,672 - nce-3 - WARNING - | end of epoch 107 | time:  5.89s |valid ppl   115.69 | valid loss:  5.06
2020-11-05 22:45:35,553 - nce-3 - WARNING - | end of epoch 108 | time:  5.88s |valid ppl   115.69 | valid loss:  4.82
2020-11-05 22:45:41,448 - nce-3 - WARNING - | end of epoch 109 | time:  5.89s |valid ppl   115.69 | valid loss:  4.74
2020-11-05 22:45:47,338 - nce-3 - WARNING - | end of epoch 110 | time:  5.89s |valid ppl   115.69 | valid loss:  4.73
2020-11-05 22:45:53,241 - nce-3 - WARNING - | end of epoch 111 | time:  5.90s |valid ppl   115.69 | valid loss:  4.70
2020-11-05 22:45:59,124 - nce-3 - WARNING - | end of epoch 112 | time:  5.88s |valid ppl   115.69 | valid loss:  4.82
2020-11-05 22:46:05,019 - nce-3 - WARNING - | end of epoch 113 | time:  5.89s |valid ppl   115.69 | valid loss:  4.78
2020-11-05 22:46:10,925 - nce-3 - WARNING - | end of epoch 114 | time:  5.91s |valid ppl   115.69 | valid loss:  4.62
2020-11-05 22:46:16,817 - nce-3 - WARNING - | end of epoch 115 | time:  5.89s |valid ppl   115.69 | valid loss:  4.79
2020-11-05 22:46:22,708 - nce-3 - WARNING - | end of epoch 116 | time:  5.89s |valid ppl   115.69 | valid loss:  4.65
2020-11-05 22:46:28,609 - nce-3 - WARNING - | end of epoch 117 | time:  5.90s |valid ppl   115.69 | valid loss:  4.74
2020-11-05 22:46:34,513 - nce-3 - WARNING - | end of epoch 118 | time:  5.90s |valid ppl   115.69 | valid loss:  4.76
2020-11-05 22:46:40,417 - nce-3 - WARNING - | end of epoch 119 | time:  5.90s |valid ppl   115.69 | valid loss:  4.65
2020-11-05 22:46:46,308 - nce-3 - WARNING - | end of epoch 120 | time:  5.89s |valid ppl   115.69 | valid loss:  4.77
2020-11-05 22:46:52,210 - nce-3 - WARNING - | end of epoch 121 | time:  5.90s |valid ppl   115.69 | valid loss:  4.64
2020-11-05 22:46:58,106 - nce-3 - WARNING - | end of epoch 122 | time:  5.90s |valid ppl   115.69 | valid loss:  4.78
2020-11-05 22:47:04,005 - nce-3 - WARNING - | end of epoch 123 | time:  5.90s |valid ppl   115.69 | valid loss:  4.75
2020-11-05 22:47:09,915 - nce-3 - WARNING - | end of epoch 124 | time:  5.91s |valid ppl   115.69 | valid loss:  4.82
2020-11-05 22:47:15,807 - nce-3 - WARNING - | end of epoch 125 | time:  5.89s |valid ppl   115.69 | valid loss:  4.83
2020-11-05 22:47:21,707 - nce-3 - WARNING - | end of epoch 126 | time:  5.90s |valid ppl   115.69 | valid loss:  4.79
2020-11-05 22:47:27,604 - nce-3 - WARNING - | end of epoch 127 | time:  5.90s |valid ppl   115.69 | valid loss:  4.69
