2020-11-05 22:36:00,766 - sampled-1 - INFO - Namespace(batch_size=96, bptt=35, clip=0.25, concat=True, cuda=True, data='data/penn', dropout=0.2, emsize=300, epochs=400, index_module='linear', log_interval=1000, loss='sampled', lr=1.0, lr_decay=2, min_freq=3, nhid=300, nlayers=3, noise_ratio=500, norm_term=-1, prof=False, save='sampled-1', seed=1111, tb_name=None, train=True, vocab=None, weight_decay=1e-08)
2020-11-05 22:36:01,109 - sampled-1 - INFO - Vocabulary size is 9957
2020-11-05 22:36:10,407 - sampled-1 - INFO - model definition:
 RNNModel(
  (drop): Dropout(p=0.2, inplace=False)
  (encoder): Embedding(9957, 300)
  (rnn): LSTM(300, 300, num_layers=3, batch_first=True, dropout=0.2)
  (proj): Linear(in_features=300, out_features=300, bias=True)
  (criterion): IndexLinear(
    (alias): AliasMultinomial()
    (bce_with_logits): BCEWithLogitsLoss()
    (ce): CrossEntropyLoss()
    (emb): Embedding(9957, 300)
    (bias): Embedding(9957, 1)
  )
)
2020-11-05 22:40:23,476 - sampled-1 - WARNING - | end of epoch  41 | time:  5.90s |valid ppl   118.79 | valid loss:  4.64
2020-11-05 22:40:29,398 - sampled-1 - WARNING - | end of epoch  42 | time:  5.92s |valid ppl   118.79 | valid loss:  4.83
2020-11-05 22:40:35,341 - sampled-1 - WARNING - | end of epoch  43 | time:  5.94s |valid ppl   118.79 | valid loss:  4.82
2020-11-05 22:40:41,281 - sampled-1 - WARNING - | end of epoch  44 | time:  5.94s |valid ppl   118.80 | valid loss:  4.96
2020-11-05 22:40:47,217 - sampled-1 - WARNING - | end of epoch  45 | time:  5.94s |valid ppl   118.80 | valid loss:  4.73
2020-11-05 22:40:53,152 - sampled-1 - WARNING - | end of epoch  46 | time:  5.93s |valid ppl   118.79 | valid loss:  4.93
2020-11-05 22:40:59,092 - sampled-1 - WARNING - | end of epoch  47 | time:  5.94s |valid ppl   118.79 | valid loss:  4.86
2020-11-05 22:41:05,061 - sampled-1 - WARNING - | end of epoch  48 | time:  5.97s |valid ppl   118.79 | valid loss:  4.81
2020-11-05 22:41:11,003 - sampled-1 - WARNING - | end of epoch  49 | time:  5.94s |valid ppl   118.79 | valid loss:  4.73
2020-11-05 22:41:16,958 - sampled-1 - WARNING - | end of epoch  50 | time:  5.95s |valid ppl   118.79 | valid loss:  4.83
2020-11-05 22:41:22,901 - sampled-1 - WARNING - | end of epoch  51 | time:  5.94s |valid ppl   118.79 | valid loss:  4.83
2020-11-05 22:41:28,846 - sampled-1 - WARNING - | end of epoch  52 | time:  5.95s |valid ppl   118.79 | valid loss:  4.80
2020-11-05 22:41:34,797 - sampled-1 - WARNING - | end of epoch  53 | time:  5.95s |valid ppl   118.79 | valid loss:  4.79
2020-11-05 22:41:40,739 - sampled-1 - WARNING - | end of epoch  54 | time:  5.94s |valid ppl   118.79 | valid loss:  4.90
2020-11-05 22:41:46,687 - sampled-1 - WARNING - | end of epoch  55 | time:  5.95s |valid ppl   118.79 | valid loss:  4.68
2020-11-05 22:41:52,626 - sampled-1 - WARNING - | end of epoch  56 | time:  5.94s |valid ppl   118.79 | valid loss:  4.83
2020-11-05 22:41:58,565 - sampled-1 - WARNING - | end of epoch  57 | time:  5.94s |valid ppl   118.79 | valid loss:  4.99
2020-11-05 22:42:04,516 - sampled-1 - WARNING - | end of epoch  58 | time:  5.95s |valid ppl   118.79 | valid loss:  4.88
2020-11-05 22:42:10,461 - sampled-1 - WARNING - | end of epoch  59 | time:  5.94s |valid ppl   118.79 | valid loss:  4.64
2020-11-05 22:42:16,414 - sampled-1 - WARNING - | end of epoch  60 | time:  5.95s |valid ppl   118.79 | valid loss:  4.67
2020-11-05 22:42:22,357 - sampled-1 - WARNING - | end of epoch  61 | time:  5.94s |valid ppl   118.79 | valid loss:  4.77
2020-11-05 22:42:28,303 - sampled-1 - WARNING - | end of epoch  62 | time:  5.95s |valid ppl   118.79 | valid loss:  4.75
2020-11-05 22:42:34,267 - sampled-1 - WARNING - | end of epoch  63 | time:  5.96s |valid ppl   118.79 | valid loss:  4.76
2020-11-05 22:42:40,215 - sampled-1 - WARNING - | end of epoch  64 | time:  5.95s |valid ppl   118.79 | valid loss:  4.74
2020-11-05 22:42:46,155 - sampled-1 - WARNING - | end of epoch  65 | time:  5.94s |valid ppl   118.79 | valid loss:  4.86
2020-11-05 22:42:52,093 - sampled-1 - WARNING - | end of epoch  66 | time:  5.94s |valid ppl   118.79 | valid loss:  4.93
2020-11-05 22:42:58,039 - sampled-1 - WARNING - | end of epoch  67 | time:  5.95s |valid ppl   118.79 | valid loss:  4.90
2020-11-05 22:43:03,992 - sampled-1 - WARNING - | end of epoch  68 | time:  5.95s |valid ppl   118.79 | valid loss:  4.68
2020-11-05 22:43:09,935 - sampled-1 - WARNING - | end of epoch  69 | time:  5.94s |valid ppl   118.79 | valid loss:  4.72
2020-11-05 22:43:15,876 - sampled-1 - WARNING - | end of epoch  70 | time:  5.94s |valid ppl   118.79 | valid loss:  4.65
2020-11-05 22:43:21,835 - sampled-1 - WARNING - | end of epoch  71 | time:  5.96s |valid ppl   118.79 | valid loss:  4.95
2020-11-05 22:43:27,778 - sampled-1 - WARNING - | end of epoch  72 | time:  5.94s |valid ppl   118.79 | valid loss:  4.86
2020-11-05 22:43:33,733 - sampled-1 - WARNING - | end of epoch  73 | time:  5.95s |valid ppl   118.79 | valid loss:  4.82
2020-11-05 22:43:39,675 - sampled-1 - WARNING - | end of epoch  74 | time:  5.94s |valid ppl   118.79 | valid loss:  4.80
2020-11-05 22:43:45,628 - sampled-1 - WARNING - | end of epoch  75 | time:  5.95s |valid ppl   118.79 | valid loss:  4.90
2020-11-05 22:43:51,602 - sampled-1 - WARNING - | end of epoch  76 | time:  5.97s |valid ppl   118.79 | valid loss:  4.76
2020-11-05 22:43:57,555 - sampled-1 - WARNING - | end of epoch  77 | time:  5.95s |valid ppl   118.79 | valid loss:  4.67
2020-11-05 22:44:03,529 - sampled-1 - WARNING - | end of epoch  78 | time:  5.97s |valid ppl   118.79 | valid loss:  5.00
2020-11-05 22:44:09,494 - sampled-1 - WARNING - | end of epoch  79 | time:  5.96s |valid ppl   118.79 | valid loss:  4.74
2020-11-05 22:44:15,477 - sampled-1 - WARNING - | end of epoch  80 | time:  5.98s |valid ppl   118.79 | valid loss:  4.80
2020-11-05 22:44:21,458 - sampled-1 - WARNING - | end of epoch  81 | time:  5.98s |valid ppl   118.79 | valid loss:  4.73
2020-11-05 22:44:27,441 - sampled-1 - WARNING - | end of epoch  82 | time:  5.98s |valid ppl   118.79 | valid loss:  4.76
2020-11-05 22:44:33,450 - sampled-1 - WARNING - | end of epoch  83 | time:  6.01s |valid ppl   118.79 | valid loss:  4.62
2020-11-05 22:44:39,449 - sampled-1 - WARNING - | end of epoch  84 | time:  6.00s |valid ppl   118.79 | valid loss:  4.69
2020-11-05 22:44:45,444 - sampled-1 - WARNING - | end of epoch  85 | time:  5.99s |valid ppl   118.79 | valid loss:  4.73
